"idx","no","category","title","author","date","hits"
"79","77","Professional Development / Профразвитие","Программа повышения квалификации преподавателей на ноябрь 2025 года / November 2025 Faculty Developm","관리자","2025-11-28","11"
"8","6","Teaching & Innovation / Обучение и инновации","Innovation for Nursing Image / Инновации для имиджа медсестер","관리자","2025-06-27","5"
"80","78","Research Capacity / Научный потенциал","FDP(1) ИКТ-компетентность – программа JASP","관리자","2026-05-15","5"
"81","79","Teaching & Innovation / Обучение и инновации","Доклад 1. Симуляционное обучение в гериатрии","관리자","2026-05-15","1"
"82","80","Teaching & Innovation / Обучение и инновации","Доклад 2. Ведение пациентов с желудочно-кишечным кровотечением","관리자","2026-05-15","1"
"83","81","Teaching & Innovation / Обучение и инновации","Предложение 3. Набор для оказания помощи при травмах","관리자","2026-05-15","0"
"84","82","Teaching & Innovation / Обучение и инновации","Презентация 1. Обучение на основе клинических случаев (CBL), симуляционное обучение и управленческая","관리자","2026-05-15","0"
"85","83","Teaching & Innovation / Обучение и инновации","Презентация 2. Симуляционная практика с использованием фантома (манекена) для развития безопасных пр","관리자","2026-05-15","3"
"86","84","Teaching & Innovation / Обучение и инновации","Интегрированное кейс-ориентированное обучение  с элементами междисциплинарной интеграции","관리자","2026-06-15","1"
"87","85","Research Capacity / Научный потенциал","Разработка многофункциональной онлайн-платформы для систематической оценки образовательного процесса","관리자","2026-06-15","1"
"88","86","Research Capacity / Научный потенциал","Обучение медсестер особенностям питания при сахарном диабете","관리자","2026-06-15","2"
"89","87","Research Capacity / Научный потенциал","Барьеры и стимулы использования научной компетентности специалистов сестринского дела в Кыргызской Р","관리자","2026-06-15","1"
"9","7","Professional Development / Профразвитие","Teamwork / Командная работа","관리자","2025-06-27","7"
"90","88","Research Capacity / Научный потенциал","Концептуальное развитие сестринского дела в Кыргызской Республике: результаты исследования и формиро","관리자","2026-06-15","2"
"92","89","Others / Прочее","1. 포럼영상_Видео_Реформы сестринского дела в Кыргызстане","관리자","2026-06-15","1"
"94","90","Others / Прочее","2. 포럼영상_Видео_Роль семейной медсестры в сельской местности","관리자","2026-06-15","0"
"95","91","Others / Прочее","3. 포럼영상_Видео_Клиническая медсестра нового типа","관리자","2026-06-15","0"
"96","92","Others / Прочее","4. 포럼영상_Видео_Развитие сестринского образования","관리자","2026-06-15","0"
"97","93","Others / Прочее","5. 포럼영상_Видео_Научное развитие сестринского дела","관리자","2026-06-15","0"
"98","94","Others / Прочее","6. 포럼영상_Видео_Профессиональное лидерство и сестринский форум","관리자","2026-06-15","0"
"99","95","Others / Прочее","7. 포럼영상_Видео_Сестринское дело — фундамент здоровья нации","관리자","2026-06-15","2"
